source_product_id,source_title,source_category,recommended_product_id,recommended_title,recommended_category,similarity_score,recommended_price,recommended_rating
8376765,Lino Perros,backpacks,7743536,Lino Perros,handbags,0.602,4495,4.5
8376765,Lino Perros,backpacks,7743355,Lino Perros,handbags,0.558,3495,4.3
8376765,Lino Perros,backpacks,1376949,F Gear,backpacks,0.552,1675,4.4
8376765,Lino Perros,backpacks,9136281,Tommy Hilfiger,backpacks,0.527,2899,4.5
8376765,Lino Perros,backpacks,17633752,Lavie,backpacks,0.472,2999,4.4
9136281,Tommy Hilfiger,backpacks,1376949,F Gear,backpacks,0.717,1675,4.4
9136281,Tommy Hilfiger,backpacks,18817326,Tommy Hilfiger,tshirts,0.544,2799,4.4
9136281,Tommy Hilfiger,backpacks,8376765,Lino Perros,backpacks,0.527,3995,3.8
9136281,Tommy Hilfiger,backpacks,17633752,Lavie,backpacks,0.471,2999,4.4
9136281,Tommy Hilfiger,backpacks,18820580,Tommy Hilfiger,sweatshirts,0.423,5599,4.2
17633752,Lavie,backpacks,1376949,F Gear,backpacks,0.522,1675,4.4
17633752,Lavie,backpacks,8376765,Lino Perros,backpacks,0.472,3995,3.8
17633752,Lavie,backpacks,9136281,Tommy Hilfiger,backpacks,0.471,2899,4.5
17633752,Lavie,backpacks,22004792,WoowZerz,dresses,0.412,2495,4.8
17633752,Lavie,backpacks,18864968,Lavie,wallets,0.354,1999,4.4
1376949,F Gear,backpacks,9136281,Tommy Hilfiger,backpacks,0.717,2899,4.5
1376949,F Gear,backpacks,8376765,Lino Perros,backpacks,0.552,3995,3.8
1376949,F Gear,backpacks,17633752,Lavie,backpacks,0.522,2999,4.4
1376949,F Gear,backpacks,7349545,Fantasy World,watches,0.322,499,3.7
1376949,F Gear,backpacks,13072098,Puma,sports-shoes,0.295,4499,4.7
13939916,MYTRIDENT,bath-robe,19851824,AVI Living,bath-towels,0.648,1399,4.0
13939916,MYTRIDENT,bath-robe,8430275,MYTRIDENT,bedsheets,0.225,2199,4.4
13939916,MYTRIDENT,bath-robe,18240902,Mr Bowerbird,sweaters,0.188,3299,4.0
13939916,MYTRIDENT,bath-robe,19432310,Marks & Spencer,sweaters,0.165,3999,4.2
13939916,MYTRIDENT,bath-robe,17686030,Allen Solly Tribe,tshirts,0.163,1499,4.3
17198778,H&M,bathroom-accessories,18932802,DailyObjects,mobile-accessories,0.352,2199,0.0
17198778,H&M,bathroom-accessories,13638232,FAUSTO,casual-shoes,0.316,1299,2.5
17198778,H&M,bathroom-accessories,13474452,Allen Solly,heels,0.283,2299,4.3
17198778,H&M,bathroom-accessories,17361518,Buckaroo,casual-shoes,0.281,4999,0.0
17198778,H&M,bathroom-accessories,18656766,VStar,bra,0.264,345,4.6
19851824,AVI Living,bath-towels,13939916,MYTRIDENT,bath-robe,0.648,2899,4.7
19851824,AVI Living,bath-towels,18974594,SPACES,towel-set,0.525,3799,4.3
19851824,AVI Living,bath-towels,17257582,FableStreet,tops,0.234,1795,4.2
19851824,AVI Living,bath-towels,17124636,H&M,tops,0.226,799,3.7
19851824,AVI Living,bath-towels,8367605,Berrylush,tops,0.2,1290,4.3
18602872,My Room,bedsheets,18602850,My Room,bedsheets,0.804,2999,4.5
18602872,My Room,bedsheets,13729978,DDecor,bedsheets,0.776,1599,3.6
18602872,My Room,bedsheets,18492504,ROMEE,bedsheets,0.706,3499,3.9
18602872,My Room,bedsheets,8961147,Story@home,bedsheets,0.652,2199,3.7
18602872,My Room,bedsheets,8430275,MYTRIDENT,bedsheets,0.639,2199,4.4
18602850,My Room,bedsheets,18602872,My Room,bedsheets,0.804,2999,4.7
18602850,My Room,bedsheets,13729978,DDecor,bedsheets,0.681,1599,3.6
18602850,My Room,bedsheets,18492504,ROMEE,bedsheets,0.663,3499,3.9
18602850,My Room,bedsheets,18346134,Arrabi,bedsheets,0.587,6329,4.3
18602850,My Room,bedsheets,20296382,DREAM WEAVERZ,bedsheets,0.586,2599,3.8
8961147,Story@home,bedsheets,18492504,ROMEE,bedsheets,0.778,3499,3.9
8961147,Story@home,bedsheets,13729978,DDecor,bedsheets,0.753,1599,3.6
8961147,Story@home,bedsheets,18602872,My Room,bedsheets,0.652,2999,4.7
8961147,Story@home,bedsheets,18346134,Arrabi,bedsheets,0.604,6329,4.3
8961147,Story@home,bedsheets,20296382,DREAM WEAVERZ,bedsheets,0.582,2599,3.8
8430275,MYTRIDENT,bedsheets,13729978,DDecor,bedsheets,0.641,1599,3.6
8430275,MYTRIDENT,bedsheets,18602872,My Room,bedsheets,0.639,2999,4.7
8430275,MYTRIDENT,bedsheets,18492504,ROMEE,bedsheets,0.553,3499,3.9
8430275,MYTRIDENT,bedsheets,8961147,Story@home,bedsheets,0.541,2199,3.7
8430275,MYTRIDENT,bedsheets,18602850,My Room,bedsheets,0.524,2999,4.5
18346118,Arrabi,bedsheets,18346134,Arrabi,bedsheets,0.806,6329,4.3
18346118,Arrabi,bedsheets,13729978,DDecor,bedsheets,0.647,1599,3.6
18346118,Arrabi,bedsheets,18492504,ROMEE,bedsheets,0.596,3499,3.9
18346118,Arrabi,bedsheets,18602872,My Room,bedsheets,0.584,2999,4.7
18346118,Arrabi,bedsheets,8961147,Story@home,bedsheets,0.581,2199,3.7
18327434,BELLA CASA,bedsheets,19788630,Home Ecstasy,bedsheets,0.308,1199,4.5
18327434,BELLA CASA,bedsheets,18492504,ROMEE,bedsheets,0.275,3499,3.9
18327434,BELLA CASA,bedsheets,13729978,DDecor,bedsheets,0.272,1599,3.6
18327434,BELLA CASA,bedsheets,18996672,Bella Moda,dresses,0.251,2017,4.6
18327434,BELLA CASA,bedsheets,18346118,Arrabi,bedsheets,0.25,3329,0.0
18492504,ROMEE,bedsheets,8961147,Story@home,bedsheets,0.778,2199,3.7
18492504,ROMEE,bedsheets,13729978,DDecor,bedsheets,0.755,1599,3.6
18492504,ROMEE,bedsheets,18602872,My Room,bedsheets,0.706,2999,4.7
18492504,ROMEE,bedsheets,18602850,My Room,bedsheets,0.663,2999,4.5
18492504,ROMEE,bedsheets,20296382,DREAM WEAVERZ,bedsheets,0.647,2599,3.8
13729978,DDecor,bedsheets,18602872,My Room,bedsheets,0.776,2999,4.7
13729978,DDecor,bedsheets,18492504,ROMEE,bedsheets,0.755,3499,3.9
13729978,DDecor,bedsheets,8961147,Story@home,bedsheets,0.753,2199,3.7
13729978,DDecor,bedsheets,20296382,DREAM WEAVERZ,bedsheets,0.693,2599,3.8
13729978,DDecor,bedsheets,18602850,My Room,bedsheets,0.681,2999,4.5
19788630,Home Ecstasy,bedsheets,8961147,Story@home,bedsheets,0.466,2199,3.7
19788630,Home Ecstasy,bedsheets,13729978,DDecor,bedsheets,0.452,1599,3.6
19788630,Home Ecstasy,bedsheets,18492504,ROMEE,bedsheets,0.417,3499,3.9
19788630,Home Ecstasy,bedsheets,8430275,MYTRIDENT,bedsheets,0.404,2199,4.4
19788630,Home Ecstasy,bedsheets,20296382,DREAM WEAVERZ,bedsheets,0.4,2599,3.8
20296382,DREAM WEAVERZ,bedsheets,13729978,DDecor,bedsheets,0.693,1599,3.6
20296382,DREAM WEAVERZ,bedsheets,18492504,ROMEE,bedsheets,0.647,3499,3.9
20296382,DREAM WEAVERZ,bedsheets,18602872,My Room,bedsheets,0.624,2999,4.7
20296382,DREAM WEAVERZ,bedsheets,18346134,Arrabi,bedsheets,0.615,6329,4.3
20296382,DREAM WEAVERZ,bedsheets,18602850,My Room,bedsheets,0.586,2999,4.5
18346134,Arrabi,bedsheets,18346118,Arrabi,bedsheets,0.806,3329,0.0
18346134,Arrabi,bedsheets,13729978,DDecor,bedsheets,0.679,1599,3.6
18346134,Arrabi,bedsheets,18602872,My Room,bedsheets,0.625,2999,4.7
18346134,Arrabi,bedsheets,18492504,ROMEE,bedsheets,0.623,3499,3.9
18346134,Arrabi,bedsheets,20296382,DREAM WEAVERZ,bedsheets,0.615,2599,3.8
22409156,Kastner,belts,13533588,Padvesh,flats,0.393,899,3.9
22409156,Kastner,belts,13355452,Rangriti,ethnic-dresses,0.388,1299,4.4
22409156,Kastner,belts,18937522,her by invictus,tops,0.367,1298,3.9
22409156,Kastner,belts,13382036,plusS,dresses,0.356,1899,4.2
22409156,Kastner,belts,17314086,EVERLY,casual-shoes,0.343,1499,3.7
18985918,Tommy Hilfiger,bodysuit,22120138,Ed-a-Mamma Baby,bodysuit,0.649,999,4.2
18985918,Tommy Hilfiger,bodysuit,18817326,Tommy Hilfiger,tshirts,0.428,2799,4.4
18985918,Tommy Hilfiger,bodysuit,18820780,Tommy Hilfiger,sweatshirts,0.357,4999,4.0
18985918,Tommy Hilfiger,bodysuit,18970848,Tommy Hilfiger,shirts,0.342,2799,4.6
18985918,Tommy Hilfiger,bodysuit,18820580,Tommy Hilfiger,sweatshirts,0.326,5599,4.2
22120138,Ed-a-Mamma Baby,bodysuit,18985918,Tommy Hilfiger,bodysuit,0.649,2999,4.1
22120138,Ed-a-Mamma Baby,bodysuit,19014828,mothercare,jackets,0.295,2999,4.5
22120138,Ed-a-Mamma Baby,bodysuit,17257582,FableStreet,tops,0.255,1795,4.2
22120138,Ed-a-Mamma Baby,bodysuit,16295686,Miss & Chief,tshirts,0.253,1995,3.9
22120138,Ed-a-Mamma Baby,bodysuit,16298856,Friskers,tshirts,0.234,2998,0.0
1728397,Mactree,boots,21427828,London Rag,boots,0.692,9599,5.0
1728397,Mactree,boots,17361518,Buckaroo,casual-shoes,0.629,4999,0.0
1728397,Mactree,boots,17350218,Delize,casual-shoes,0.606,13999,0.0
1728397,Mactree,boots,16880520,PUMA Hoops,sports-shoes,0.233,8999,4.1
1728397,Mactree,boots,20070948,ADIDAS,sports-shoes,0.218,5999,4.1
21427828,London Rag,boots,1728397,Mactree,boots,0.692,9060,3.9
21427828,London Rag,boots,17350218,Delize,casual-shoes,0.543,13999,0.0
21427828,London Rag,boots,17361518,Buckaroo,casual-shoes,0.355,4999,0.0
21427828,London Rag,boots,16696848,Accessorize,handbags,0.273,4995,4.6
21427828,London Rag,boots,17307656,SIMON CARTER LONDON,shirts,0.262,2799,4.6
17372928,The Souled Store,boxers,17345842,JC Collection,shirts,0.461,3499,4.1
17372928,The Souled Store,boxers,13379612,THE SILHOUETTE STORE,dresses,0.385,1399,2.0
17372928,The Souled Store,boxers,13391540,Mast & Harbour,dresses,0.382,1999,4.1
17372928,The Souled Store,boxers,16292318,Bewakoof,tshirts,0.375,1399,4.2
17372928,The Souled Store,boxers,11876926,AND,tops,0.345,1999,4.4
15115018,Jockey,bra,22063882,GROVERSONS Paris Beauty,bra,0.872,399,4.0
15115018,Jockey,bra,18223842,max,bra,0.669,449,4.1
15115018,Jockey,bra,22278620,Tweens,bra,0.582,720,0.0
15115018,Jockey,bra,17774350,Zivame,bra,0.494,995,4.2
15115018,Jockey,bra,22196924,Zivame,bra,0.478,999,4.3
22063882,GROVERSONS Paris Beauty,bra,15115018,Jockey,bra,0.872,579,4.4
22063882,GROVERSONS Paris Beauty,bra,22278620,Tweens,bra,0.708,720,0.0
22063882,GROVERSONS Paris Beauty,bra,18223842,max,bra,0.662,449,4.1
22063882,GROVERSONS Paris Beauty,bra,17774350,Zivame,bra,0.512,995,4.2
22063882,GROVERSONS Paris Beauty,bra,18656764,VStar,bra,0.483,345,4.3
19219450,Susie,bra,19219468,Susie,bra,0.813,699,4.0
19219450,Susie,bra,18656764,VStar,bra,0.653,345,4.3
19219450,Susie,bra,18656766,VStar,bra,0.645,345,4.6
19219450,Susie,bra,17774350,Zivame,bra,0.545,995,4.2
19219450,Susie,bra,22196924,Zivame,bra,0.496,999,4.3
22196924,Zivame,bra,17774350,Zivame,bra,0.876,995,4.2
22196924,Zivame,bra,19277544,Marks & Spencer,bra,0.776,2999,4.3
22196924,Zivame,bra,13523458,shyaway,bra,0.753,2547,4.3
22196924,Zivame,bra,18652628,max,bra,0.672,649,4.2
22196924,Zivame,bra,18223842,max,bra,0.553,449,4.1
19219468,Susie,bra,19219450,Susie,bra,0.813,749,4.3
19219468,Susie,bra,18656764,VStar,bra,0.6,345,4.3
19219468,Susie,bra,18656766,VStar,bra,0.593,345,4.6
19219468,Susie,bra,13523458,shyaway,bra,0.585,2547,4.3
19219468,Susie,bra,17774350,Zivame,bra,0.499,995,4.2
22278620,Tweens,bra,22063882,GROVERSONS Paris Beauty,bra,0.708,399,4.0
22278620,Tweens,bra,15115018,Jockey,bra,0.582,579,4.4
22278620,Tweens,bra,18223842,max,bra,0.578,449,4.1
22278620,Tweens,bra,17774350,Zivame,bra,0.491,995,4.2
22278620,Tweens,bra,22196924,Zivame,bra,0.473,999,4.3
19277544,Marks & Spencer,bra,22196924,Zivame,bra,0.776,999,4.3
19277544,Marks & Spencer,bra,13523458,shyaway,bra,0.71,2547,4.3
19277544,Marks & Spencer,bra,17774350,Zivame,bra,0.657,995,4.2
19277544,Marks & Spencer,bra,18652628,max,bra,0.637,649,4.2
19277544,Marks & Spencer,bra,18223842,max,bra,0.505,449,4.1
18223842,max,bra,15115018,Jockey,bra,0.669,579,4.4
18223842,max,bra,22063882,GROVERSONS Paris Beauty,bra,0.662,399,4.0
18223842,max,bra,18652628,max,bra,0.654,649,4.2
18223842,max,bra,22278620,Tweens,bra,0.578,720,0.0
18223842,max,bra,17774350,Zivame,bra,0.572,995,4.2
18656766,VStar,bra,18656764,VStar,bra,0.912,345,4.3
18656766,VStar,bra,19219450,Susie,bra,0.645,749,4.3
18656766,VStar,bra,19219468,Susie,bra,0.593,699,4.0
18656766,VStar,bra,17774350,Zivame,bra,0.586,995,4.2
18656766,VStar,bra,22196924,Zivame,bra,0.533,999,4.3
18656764,VStar,bra,18656766,VStar,bra,0.912,345,4.6
18656764,VStar,bra,19219450,Susie,bra,0.653,749,4.3
18656764,VStar,bra,19219468,Susie,bra,0.6,699,4.0
18656764,VStar,bra,17774350,Zivame,bra,0.592,995,4.2
18656764,VStar,bra,22196924,Zivame,bra,0.539,999,4.3
13523458,shyaway,bra,22196924,Zivame,bra,0.753,999,4.3
13523458,shyaway,bra,19277544,Marks & Spencer,bra,0.71,2999,4.3
13523458,shyaway,bra,17774350,Zivame,bra,0.637,995,4.2
13523458,shyaway,bra,18652628,max,bra,0.597,649,4.2
13523458,shyaway,bra,19219468,Susie,bra,0.585,699,4.0
18652628,max,bra,17774350,Zivame,bra,0.695,995,4.2
18652628,max,bra,22196924,Zivame,bra,0.672,999,4.3
18652628,max,bra,18223842,max,bra,0.654,449,4.1
18652628,max,bra,19277544,Marks & Spencer,bra,0.637,2999,4.3
18652628,max,bra,13523458,shyaway,bra,0.597,2547,4.3
17774350,Zivame,bra,22196924,Zivame,bra,0.876,999,4.3
17774350,Zivame,bra,18652628,max,bra,0.695,649,4.2
17774350,Zivame,bra,19277544,Marks & Spencer,bra,0.657,2999,4.3
17774350,Zivame,bra,13523458,shyaway,bra,0.637,2547,4.3
17774350,Zivame,bra,18656764,VStar,bra,0.592,345,4.3
16704504,ZINU,bracelet,21873792,KARATCART,bracelet,0.808,3397,4.6
16704504,ZINU,bracelet,18100576,MINUTIAE,bracelet,0.59,1499,3.2
16704504,ZINU,bracelet,21573578,Jewels Galaxy,bracelet,0.579,1329,4.2
16704504,ZINU,bracelet,22600236,Inddus Jewels,earrings,0.339,5099,0.0
16704504,ZINU,bracelet,14467848,GIVA,earrings,0.277,2799,4.4
21873792,KARATCART,bracelet,16704504,ZINU,bracelet,0.808,699,4.1
21873792,KARATCART,bracelet,21573578,Jewels Galaxy,bracelet,0.504,1329,4.2
21873792,KARATCART,bracelet,18100576,MINUTIAE,bracelet,0.47,1499,3.2
